GEO.id,GEO.id2,GEO.display-label,HC01_VC114,HC02_VC114
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",74250,39737
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",149653,42165
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",93843,31668
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",101959,7381
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",173625,97687
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",36941,10149
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",29179,7588
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",104479,51531
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",188333,44138
1400000US06075011000,6075011000,"Census Tract 110, San Francisco County, California",116000,70060
1400000US06075011100,6075011100,"Census Tract 111, San Francisco County, California",101938,20944
1400000US06075011200,6075011200,"Census Tract 112, San Francisco County, California",164750,73816
1400000US06075011300,6075011300,"Census Tract 113, San Francisco County, California",36107,11256
1400000US06075011700,6075011700,"Census Tract 117, San Francisco County, California",50500,37561
1400000US06075011800,6075011800,"Census Tract 118, San Francisco County, California",23693,12927
1400000US06075011901,6075011901,"Census Tract 119.01, San Francisco County, California",119635,32506
1400000US06075011902,6075011902,"Census Tract 119.02, San Francisco County, California",115781,44157
1400000US06075012000,6075012000,"Census Tract 120, San Francisco County, California",41063,17634
1400000US06075012100,6075012100,"Census Tract 121, San Francisco County, California",53285,14162
1400000US06075012201,6075012201,"Census Tract 122.01, San Francisco County, California",61109,16862
1400000US06075012202,6075012202,"Census Tract 122.02, San Francisco County, California",29750,22450
1400000US06075012301,6075012301,"Census Tract 123.01, San Francisco County, California",21506,6775
1400000US06075012302,6075012302,"Census Tract 123.02, San Francisco County, California",-,**
1400000US06075012401,6075012401,"Census Tract 124.01, San Francisco County, California",33929,10148
1400000US06075012402,6075012402,"Census Tract 124.02, San Francisco County, California",72926,49499
1400000US06075012501,6075012501,"Census Tract 125.01, San Francisco County, California",23661,12406
1400000US06075012502,6075012502,"Census Tract 125.02, San Francisco County, California",34271,31771
1400000US06075012601,6075012601,"Census Tract 126.01, San Francisco County, California",193882,51197
1400000US06075012602,6075012602,"Census Tract 126.02, San Francisco County, California",244728,36612
1400000US06075012700,6075012700,"Census Tract 127, San Francisco County, California",164130,38436
1400000US06075012800,6075012800,"Census Tract 128, San Francisco County, California","250,000+",***
1400000US06075012901,6075012901,"Census Tract 129.01, San Francisco County, California",228269,47585
1400000US06075012902,6075012902,"Census Tract 129.02, San Francisco County, California",131250,31007
1400000US06075013000,6075013000,"Census Tract 130, San Francisco County, California",169583,17565
1400000US06075013101,6075013101,"Census Tract 131.01, San Francisco County, California",207463,49906
1400000US06075013102,6075013102,"Census Tract 131.02, San Francisco County, California",145227,23814
1400000US06075013200,6075013200,"Census Tract 132, San Francisco County, California","250,000+",***
1400000US06075013300,6075013300,"Census Tract 133, San Francisco County, California",241154,49957
1400000US06075013400,6075013400,"Census Tract 134, San Francisco County, California",222321,52628
1400000US06075013500,6075013500,"Census Tract 135, San Francisco County, California",171719,73905
1400000US06075015100,6075015100,"Census Tract 151, San Francisco County, California",119205,30222
1400000US06075015200,6075015200,"Census Tract 152, San Francisco County, California",134650,40478
1400000US06075015300,6075015300,"Census Tract 153, San Francisco County, California",151250,65631
1400000US06075015400,6075015400,"Census Tract 154, San Francisco County, California",156563,40880
1400000US06075015500,6075015500,"Census Tract 155, San Francisco County, California",76250,38688
1400000US06075015600,6075015600,"Census Tract 156, San Francisco County, California",82284,9973
1400000US06075015700,6075015700,"Census Tract 157, San Francisco County, California",122269,51867
1400000US06075015801,6075015801,"Census Tract 158.01, San Francisco County, California",61618,40363
1400000US06075015802,6075015802,"Census Tract 158.02, San Francisco County, California",158125,45551
1400000US06075015900,6075015900,"Census Tract 159, San Francisco County, California",76000,43849
1400000US06075016000,6075016000,"Census Tract 160, San Francisco County, California",71538,36609
1400000US06075016100,6075016100,"Census Tract 161, San Francisco County, California",24836,7279
1400000US06075016200,6075016200,"Census Tract 162, San Francisco County, California",198333,72464
1400000US06075016300,6075016300,"Census Tract 163, San Francisco County, California",137969,23394
1400000US06075016400,6075016400,"Census Tract 164, San Francisco County, California",128250,49337
1400000US06075016500,6075016500,"Census Tract 165, San Francisco County, California",123139,61376
1400000US06075016600,6075016600,"Census Tract 166, San Francisco County, California",137634,16690
1400000US06075016700,6075016700,"Census Tract 167, San Francisco County, California",198370,27279
1400000US06075016801,6075016801,"Census Tract 168.01, San Francisco County, California",136908,32733
1400000US06075016802,6075016802,"Census Tract 168.02, San Francisco County, California",92589,64168
1400000US06075016900,6075016900,"Census Tract 169, San Francisco County, California",148906,38162
1400000US06075017000,6075017000,"Census Tract 170, San Francisco County, California",193750,88222
1400000US06075017101,6075017101,"Census Tract 171.01, San Francisco County, California",185625,28263
1400000US06075017102,6075017102,"Census Tract 171.02, San Francisco County, California",170000,39765
1400000US06075017601,6075017601,"Census Tract 176.01, San Francisco County, California",53136,12950
1400000US06075017700,6075017700,"Census Tract 177, San Francisco County, California",106838,49284
1400000US06075017801,6075017801,"Census Tract 178.01, San Francisco County, California",-,**
1400000US06075017802,6075017802,"Census Tract 178.02, San Francisco County, California",64453,54984
1400000US06075017902,6075017902,"Census Tract 179.02, San Francisco County, California",32500,12869
1400000US06075018000,6075018000,"Census Tract 180, San Francisco County, California",218611,39168
1400000US06075020100,6075020100,"Census Tract 201, San Francisco County, California",40645,13409
1400000US06075020200,6075020200,"Census Tract 202, San Francisco County, California",41595,22247
1400000US06075020300,6075020300,"Census Tract 203, San Francisco County, California",121875,41603
1400000US06075020401,6075020401,"Census Tract 204.01, San Francisco County, California",180186,45408
1400000US06075020402,6075020402,"Census Tract 204.02, San Francisco County, California",100556,39839
1400000US06075020500,6075020500,"Census Tract 205, San Francisco County, California",150179,42483
1400000US06075020600,6075020600,"Census Tract 206, San Francisco County, California",199917,45915
1400000US06075020700,6075020700,"Census Tract 207, San Francisco County, California",194722,42649
1400000US06075020800,6075020800,"Census Tract 208, San Francisco County, California",67386,20704
1400000US06075020900,6075020900,"Census Tract 209, San Francisco County, California",45052,5743
1400000US06075021000,6075021000,"Census Tract 210, San Francisco County, California",120667,83890
1400000US06075021100,6075021100,"Census Tract 211, San Francisco County, California",193214,46626
1400000US06075021200,6075021200,"Census Tract 212, San Francisco County, California",186500,42608
1400000US06075021300,6075021300,"Census Tract 213, San Francisco County, California",223281,45290
1400000US06075021400,6075021400,"Census Tract 214, San Francisco County, California",199545,44189
1400000US06075021500,6075021500,"Census Tract 215, San Francisco County, California",186435,67974
1400000US06075021600,6075021600,"Census Tract 216, San Francisco County, California",145078,39692
1400000US06075021700,6075021700,"Census Tract 217, San Francisco County, California",139730,28950
1400000US06075021800,6075021800,"Census Tract 218, San Francisco County, California",198864,57491
1400000US06075022600,6075022600,"Census Tract 226, San Francisco County, California",213365,21108
1400000US06075022702,6075022702,"Census Tract 227.02, San Francisco County, California",180652,12664
1400000US06075022704,6075022704,"Census Tract 227.04, San Francisco County, California",214911,51981
1400000US06075022801,6075022801,"Census Tract 228.01, San Francisco County, California",124583,49483
1400000US06075022802,6075022802,"Census Tract 228.02, San Francisco County, California",41442,22586
1400000US06075022803,6075022803,"Census Tract 228.03, San Francisco County, California",70694,13502
1400000US06075022901,6075022901,"Census Tract 229.01, San Francisco County, California",61458,5323
1400000US06075022902,6075022902,"Census Tract 229.02, San Francisco County, California",88750,26999
1400000US06075022903,6075022903,"Census Tract 229.03, San Francisco County, California",75682,17946
1400000US06075023001,6075023001,"Census Tract 230.01, San Francisco County, California",65806,14327
1400000US06075023003,6075023003,"Census Tract 230.03, San Francisco County, California",80931,11290
1400000US06075023102,6075023102,"Census Tract 231.02, San Francisco County, California",35678,8731
1400000US06075023103,6075023103,"Census Tract 231.03, San Francisco County, California",26887,9794
1400000US06075023200,6075023200,"Census Tract 232, San Francisco County, California",67888,29006
1400000US06075023300,6075023300,"Census Tract 233, San Francisco County, California",60385,12831
1400000US06075023400,6075023400,"Census Tract 234, San Francisco County, California",40074,13389
1400000US06075025100,6075025100,"Census Tract 251, San Francisco County, California",106413,49849
1400000US06075025200,6075025200,"Census Tract 252, San Francisco County, California",126765,27530
1400000US06075025300,6075025300,"Census Tract 253, San Francisco County, California",124234,39570
1400000US06075025401,6075025401,"Census Tract 254.01, San Francisco County, California",125450,24448
1400000US06075025402,6075025402,"Census Tract 254.02, San Francisco County, California",146484,28790
1400000US06075025403,6075025403,"Census Tract 254.03, San Francisco County, California",88171,12729
1400000US06075025500,6075025500,"Census Tract 255, San Francisco County, California",110929,12137
1400000US06075025600,6075025600,"Census Tract 256, San Francisco County, California",79811,13797
1400000US06075025701,6075025701,"Census Tract 257.01, San Francisco County, California",90573,18376
1400000US06075025702,6075025702,"Census Tract 257.02, San Francisco County, California",60838,6283
1400000US06075025800,6075025800,"Census Tract 258, San Francisco County, California",71250,8865
1400000US06075025900,6075025900,"Census Tract 259, San Francisco County, California",107143,16806
1400000US06075026001,6075026001,"Census Tract 260.01, San Francisco County, California",65291,5383
1400000US06075026002,6075026002,"Census Tract 260.02, San Francisco County, California",83676,12183
1400000US06075026003,6075026003,"Census Tract 260.03, San Francisco County, California",80250,16237
1400000US06075026004,6075026004,"Census Tract 260.04, San Francisco County, California",75750,24614
1400000US06075026100,6075026100,"Census Tract 261, San Francisco County, California",75074,12194
1400000US06075026200,6075026200,"Census Tract 262, San Francisco County, California",75536,10163
1400000US06075026301,6075026301,"Census Tract 263.01, San Francisco County, California",59461,7868
1400000US06075026302,6075026302,"Census Tract 263.02, San Francisco County, California",77091,8857
1400000US06075026303,6075026303,"Census Tract 263.03, San Francisco County, California",80482,23767
1400000US06075026401,6075026401,"Census Tract 264.01, San Francisco County, California",55795,20500
1400000US06075026402,6075026402,"Census Tract 264.02, San Francisco County, California",83750,19889
1400000US06075026403,6075026403,"Census Tract 264.03, San Francisco County, California",71471,9583
1400000US06075026404,6075026404,"Census Tract 264.04, San Francisco County, California",55000,6879
1400000US06075030101,6075030101,"Census Tract 301.01, San Francisco County, California",121643,61216
1400000US06075030102,6075030102,"Census Tract 301.02, San Francisco County, California",162868,48485
1400000US06075030201,6075030201,"Census Tract 302.01, San Francisco County, California",109250,20154
1400000US06075030202,6075030202,"Census Tract 302.02, San Francisco County, California",124152,42144
1400000US06075030301,6075030301,"Census Tract 303.01, San Francisco County, California",152525,13369
1400000US06075030302,6075030302,"Census Tract 303.02, San Francisco County, California",151818,31445
1400000US06075030400,6075030400,"Census Tract 304, San Francisco County, California",168203,16378
1400000US06075030500,6075030500,"Census Tract 305, San Francisco County, California",141313,17402
1400000US06075030600,6075030600,"Census Tract 306, San Francisco County, California",186875,27275
1400000US06075030700,6075030700,"Census Tract 307, San Francisco County, California",145882,29386
1400000US06075030800,6075030800,"Census Tract 308, San Francisco County, California",154015,30573
1400000US06075030900,6075030900,"Census Tract 309, San Francisco County, California",169375,60680
1400000US06075031000,6075031000,"Census Tract 310, San Francisco County, California",152500,31289
1400000US06075031100,6075031100,"Census Tract 311, San Francisco County, California",120729,26160
1400000US06075031201,6075031201,"Census Tract 312.01, San Francisco County, California",86667,15734
1400000US06075031202,6075031202,"Census Tract 312.02, San Francisco County, California",74406,6183
1400000US06075031301,6075031301,"Census Tract 313.01, San Francisco County, California",93194,17387
1400000US06075031302,6075031302,"Census Tract 313.02, San Francisco County, California",70500,17975
1400000US06075031400,6075031400,"Census Tract 314, San Francisco County, California",65673,3634
1400000US06075032601,6075032601,"Census Tract 326.01, San Francisco County, California",106528,17927
1400000US06075032602,6075032602,"Census Tract 326.02, San Francisco County, California",104348,21540
1400000US06075032700,6075032700,"Census Tract 327, San Francisco County, California",111967,19674
1400000US06075032801,6075032801,"Census Tract 328.01, San Francisco County, California",107969,36841
1400000US06075032802,6075032802,"Census Tract 328.02, San Francisco County, California",107500,25822
1400000US06075032901,6075032901,"Census Tract 329.01, San Francisco County, California",91364,24272
1400000US06075032902,6075032902,"Census Tract 329.02, San Francisco County, California",115000,23988
1400000US06075033000,6075033000,"Census Tract 330, San Francisco County, California",94094,10482
1400000US06075033100,6075033100,"Census Tract 331, San Francisco County, California",127344,26222
1400000US06075033201,6075033201,"Census Tract 332.01, San Francisco County, California",31852,27809
1400000US06075033203,6075033203,"Census Tract 332.03, San Francisco County, California",64250,25265
1400000US06075033204,6075033204,"Census Tract 332.04, San Francisco County, California",78309,21658
1400000US06075035100,6075035100,"Census Tract 351, San Francisco County, California",120550,14568
1400000US06075035201,6075035201,"Census Tract 352.01, San Francisco County, California",101384,13865
1400000US06075035202,6075035202,"Census Tract 352.02, San Francisco County, California",87143,8828
1400000US06075035300,6075035300,"Census Tract 353, San Francisco County, California",94271,22358
1400000US06075035400,6075035400,"Census Tract 354, San Francisco County, California",98894,30892
1400000US06075040100,6075040100,"Census Tract 401, San Francisco County, California",112159,17717
1400000US06075040200,6075040200,"Census Tract 402, San Francisco County, California",116544,28014
1400000US06075042601,6075042601,"Census Tract 426.01, San Francisco County, California",102609,31750
1400000US06075042602,6075042602,"Census Tract 426.02, San Francisco County, California",141250,16493
1400000US06075042700,6075042700,"Census Tract 427, San Francisco County, California",91607,32921
1400000US06075042800,6075042800,"Census Tract 428, San Francisco County, California","250,000+",***
1400000US06075045100,6075045100,"Census Tract 451, San Francisco County, California",101961,17789
1400000US06075045200,6075045200,"Census Tract 452, San Francisco County, California",89539,36515
1400000US06075047600,6075047600,"Census Tract 476, San Francisco County, California",105139,27249
1400000US06075047701,6075047701,"Census Tract 477.01, San Francisco County, California",84250,15620
1400000US06075047702,6075047702,"Census Tract 477.02, San Francisco County, California",103021,22543
1400000US06075047801,6075047801,"Census Tract 478.01, San Francisco County, California",94774,7121
1400000US06075047802,6075047802,"Census Tract 478.02, San Francisco County, California",82276,23691
1400000US06075047901,6075047901,"Census Tract 479.01, San Francisco County, California",101250,42084
1400000US06075047902,6075047902,"Census Tract 479.02, San Francisco County, California",112772,23270
1400000US06075060100,6075060100,"Census Tract 601, San Francisco County, California",225227,56000
1400000US06075060400,6075060400,"Census Tract 604, San Francisco County, California",73611,34339
1400000US06075060502,6075060502,"Census Tract 605.02, San Francisco County, California",26897,5207
1400000US06075060700,6075060700,"Census Tract 607, San Francisco County, California",134286,29410
1400000US06075061000,6075061000,"Census Tract 610, San Francisco County, California",98583,12533
1400000US06075061100,6075061100,"Census Tract 611, San Francisco County, California",26736,8957
1400000US06075061200,6075061200,"Census Tract 612, San Francisco County, California",55481,11370
1400000US06075061400,6075061400,"Census Tract 614, San Francisco County, California",108869,65900
1400000US06075061500,6075061500,"Census Tract 615, San Francisco County, California",199766,25769
1400000US06075980200,6075980200,"Census Tract 9802, San Francisco County, California",155250,41842
1400000US06075980300,6075980300,"Census Tract 9803, San Francisco County, California",-,**
1400000US06075980401,6075980401,"Census Tract 9804.01, San Francisco County, California",-,**
1400000US06075980501,6075980501,"Census Tract 9805.01, San Francisco County, California",19440,4284
1400000US06075980600,6075980600,"Census Tract 9806, San Francisco County, California",-,**
1400000US06075980900,6075980900,"Census Tract 9809, San Francisco County, California",110000,92054
1400000US06075990100,6075990100,"Census Tract 9901, San Francisco County, California",-,**
